id;secid;shortname;regnumber;name;isin;is_traded;emitent_id;emitent_title;emitent_inn;emitent_okpo;gosreg;type;group;primary_boardid;marketprice_boardid
105469;RU000A0JWHA4;RUS-26;12840077V;ГОВОЗ РФ 12840077V (RU);RU000A0JWHA4;1;1374788;Министерство финансов Российской Федерации;7710168360;;12840077V;ofz_bond;stock_bonds;TQOD;TQOD
131358;RU000A0JXTS9;RUS-27;12840078V;ГОВОЗ РФ 12840078V (RU);RU000A0JXTS9;1;1374788;Министерство финансов Российской Федерации;7710168360;;12840078V;ofz_bond;stock_bonds;TQOD;TQOD
131359;RU000A0JXU14;RUS-47;12840079V;ГОВОЗ РФ 12840079V (RU);RU000A0JXU14;1;1374788;Министерство финансов Российской Федерации;7710168360;;12840079V;ofz_bond;stock_bonds;TQOD;TQOD
150527;RU000A0ZYYN4;RUS-29;12840080V;ГОВОЗ РФ 12840080V (RU);RU000A0ZYYN4;1;1374788;Министерство финансов Российской Федерации;7710168360;;12840080V;ofz_bond;stock_bonds;TQOD;TQOD
7109167;RU000A0ZZVE6;RUS-25 EUR;12978082V;ГОВОЗ РФ 12978082V (RU);RU000A0ZZVE6;1;1374788;Министерство финансов Российской Федерации;7710168360;;12978082V;ofz_bond;stock_bonds;TQOE;TQOE
45994777;RU000A1006S9;RUS-35;12840086V;ГОВОЗ РФ 12840086V (RU);RU000A1006S9;1;1374788;Министерство финансов Российской Федерации;7710168360;;12840086V;ofz_bond;stock_bonds;TQOD;TQOD
376706211;RU000A100D89;Беларусь07;;Республика Беларусь 07;RU000A100D89;1;2389;Республика Беларусь в лице Министерства финансов Республики Беларусь;100691903;;;ofz_bond;stock_bonds;TQCB;TQCB
413859653;RU000A101RT6;Казахст05;;Республика Казахстан 05;RU000A101RT6;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;TQCB;TQCB
411986937;RU000A101RV2;Казахст07;;Республика Казахстан 07;RU000A101RV2;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;TQCB;TQCB
413859655;RU000A101RW0;Казахст08;;Республика Казахстан 08;RU000A101RW0;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;TQCB;TQCB
411986939;RU000A101RZ3;Казахст11;;Республика Казахстан 11;RU000A101RZ3;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;TQCB;TQCB
413859657;RU000A101S08;Казахст12;;Республика Казахстан 12;RU000A101S08;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;TQCB;TQCB
413859659;RU000A101S16;Казахст13;;Республика Казахстан 13;RU000A101S16;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;TQCB;TQCB
412365601;RU000A102CK5;RUS-27 EUR;12978087V;ГОВОЗ РФ 12978087V (RU);RU000A102CK5;1;1374788;Министерство финансов Российской Федерации;7710168360;;12978087V;ofz_bond;stock_bonds;TQOE;TQOE
412365603;RU000A102CL3;RUS-32 EUR;12978088V;ГОВОЗ РФ 12978088V (RU);RU000A102CL3;1;1374788;Министерство финансов Российской Федерации;7710168360;;12978088V;ofz_bond;stock_bonds;TQOE;TQOE
413653677;RU000A1034K8;RUS-36 EUR;12978104V;ГОВОЗ РФ 12978104V (RU);RU000A1034K8;1;1374788;Министерство финансов Российской Федерации;7710168360;;12978104V;ofz_bond;stock_bonds;TQOE;TQOE
253511169;SU24021RMFS6;ОФЗ 24021;24021RMFS;ОФЗ-ПК 24021 24/04/24;RU000A101CK7;1;1374788;Министерство финансов Российской Федерации;7710168360;;24021RMFS;ofz_bond;stock_bonds;TQOB;TQOB
414622109;SU25085RMFS0;ОФЗ 25085;25085RMFS;ОФЗ-ПД 25085 24/09/2025;RU000A103BQ2;1;1374788;Министерство финансов Российской Федерации;7710168360;;25085RMFS;ofz_bond;stock_bonds;TQOB;TQOB
11113;SU26207RMFS9;ОФЗ 26207;26207RMFS;ОФЗ-ПД 26207 03/02/27;RU000A0JS3W6;1;1374788;Министерство финансов Российской Федерации;7710168360;;26207RMFS;ofz_bond;stock_bonds;TQOB;TQOB
18963;SU26212RMFS9;ОФЗ 26212;26212RMFS;ОФЗ-ПД 26212 19/01/28;RU000A0JTK38;1;1374788;Министерство финансов Российской Федерации;7710168360;;26212RMFS;ofz_bond;stock_bonds;TQOB;TQOB
99686;SU26218RMFS6;ОФЗ 26218;26218RMFS;ОФЗ-ПД 26218 17/09/31;RU000A0JVW48;1;1374788;Министерство финансов Российской Федерации;7710168360;;26218RMFS;ofz_bond;stock_bonds;TQOB;TQOB
108202;SU26219RMFS4;ОФЗ 26219;26219RMFS;ОФЗ-ПД 26219 16/09/26;RU000A0JWM07;1;1374788;Министерство финансов Российской Федерации;7710168360;;26219RMFS;ofz_bond;stock_bonds;TQOB;TQOB
125320;SU26221RMFS0;ОФЗ 26221;26221RMFS;ОФЗ-ПД 26221 23/03/33;RU000A0JXFM1;1;1374788;Министерство финансов Российской Федерации;7710168360;;26221RMFS;ofz_bond;stock_bonds;TQOB;TQOB
127213;SU26222RMFS8;ОФЗ 26222;26222RMFS;ОФЗ-ПД 26222 16/10/24;RU000A0JXQF2;1;1374788;Министерство финансов Российской Федерации;7710168360;;26222RMFS;ofz_bond;stock_bonds;TQOB;TQOB
147278;SU26223RMFS6;ОФЗ 26223;26223RMFS;ОФЗ-ПД 26223 28/02/24;RU000A0ZYU88;1;1374788;Министерство финансов Российской Федерации;7710168360;;26223RMFS;ofz_bond;stock_bonds;TQOB;TQOB
148489;SU26224RMFS4;ОФЗ 26224;26224RMFS;ОФЗ-ПД 26224 23/05/29;RU000A0ZYUA9;1;1374788;Министерство финансов Российской Федерации;7710168360;;26224RMFS;ofz_bond;stock_bonds;TQOB;TQOB
147279;SU26225RMFS1;ОФЗ 26225;26225RMFS;ОФЗ-ПД 26225 10/05/34;RU000A0ZYUB7;1;1374788;Министерство финансов Российской Федерации;7710168360;;26225RMFS;ofz_bond;stock_bonds;TQOB;TQOB
