rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEUNIT;ISSUESIZE;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;IS_QUALIFIED_INVESTORS;COUPONFREQUENCY;COUPONPERCENT;COUPONVALUE;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
RU000A0JVM81;Оренб35003;Оренбургская область 35003 об.;Региональные облигации;RU000A0JVM81;RU35003AOR0;1;RUB;5000000;0;TQCB;Т+: Облигации - безадрес.;03.07.2025;;0;4;14,000;13,96;91;16.07.2015;1000,0;;2015-07-16;Министерство финансов Оренбургской области;5610008401;1;100,43;413,07;380,02;446,12;367,63;458,51;355,24;470,9;8,0;100000;11,0;500000;14,0;8,00000;8,00000;0
RU000A0JWM56;СамарОбл12;Самарская область 2016;Региональные облигации;RU000A0JWM56;RU35012SAM0;1;RUB;10000000;0;TQCB;Т+: Облигации - безадрес.;21.06.2024;;0;4;9,640;6,01;91;01.07.2016;1000,0;;2016-07-01;Министерство управления финансами Самарской области;6315802231;1;99,06;253,39;235,65;271,13;228,05;278,73;220,45;286,33;7,0;200000;10,0;1000000;13,0;7,00000;7,00000;0
RU000A0JWT91;Удмурт2016;Удмуртская респ. обл. 2016;Региональные облигации;RU000A0JWT91;RU35002UDM0;3;RUB;5000000;0;TQCB;Т+: Облигации - безадрес.;19.09.2026;;0;4;10,550;26,3;91;21.09.2016;1000,0;;2016-09-21;Правительство Удмуртской Республики в лице Министерства финансов Удмуртской Республики;1831041689;1;94,61;970,96;0,0;1941,92;0,0;1941,92;0,0;1941,92;100,0;;;;;10,00000;10,00000;0
RU000A0JWZ77;СвердлОб3;Свердловская обл. 03;Региональные облигации;RU000A0JWZ77;RU35003SVS0;1;RUB;5000000;0;TQCB;Т+: Облигации - безадрес.;15.11.2024;;0;4;9,800;4,89;91;17.11.2016;1000,0;;2016-11-17;Министерство финансов Свердловской области;6661004608;1;99,43;200,52;186,48;214,56;180,47;220,57;174,45;226,59;7,0;100000;10,0;500000;13,0;7,00000;7,00000;0
RU000A0JX215;ХМАО 10;ХМАО-Югры об. 35001;Региональные облигации;RU000A0JX215;RU35001HMN0;1;RUB;6000000;0;TQCB;Т+: Облигации - безадрес.;18.12.2023;;0;4;;;;19.12.2016;1000,0;;2016-12-19;Правительство Ханты-Мансийского автономного округа - Югры;8601006241;1;100,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;;;;;10,00000;10,00000;0
RU000A0JXR43;Якут-09 об;Республика Саха (Якутия) об.09;Региональные облигации;RU000A0JXR43;RU35009RSY0;1;RUB;5000000;0;TQCB;Т+: Облигации - безадрес.;16.05.2024;;0;4;8,590;5,35;91;18.05.2017;1000,0;;2017-05-18;Министерство финансов Республики Саха (Якутия);1435027673;1;97,7;246,54;229,28;263,8;221,89;271,19;214,49;278,59;7,0;100000;10,0;500000;13,0;7,00000;7,00000;0
RU000A0JXS83;ЯрОбл 2017;Ярославская обл. об.2017г.;Региональные облигации;RU000A0JXS83;RU35015YRS0;1;RUB;10000000;0;TQCB;Т+: Облигации - безадрес.;20.04.2027;;0;4;8,400;18,32;91;01.06.2017;1000,0;;2017-06-01;министерство финансов Ярославской области;7604002902;1;92,17;817,57;408,79;1226,36;204,39;1430,75;0,0;1635,14;50,0;60000;75,0;300000;100,0;10,00000;10,00000;0
RU000A0JXSD3;ВлгОб35007;Волгоградская обл. 35007 обл.;Региональные облигации;RU000A0JXSD3;RU35007VLO0;1;RUB;10000000;0;TQCB;Т+: Облигации - безадрес.;02.06.2024;;0;4;7,900;5,91;91;02.06.2017;1000,0;;2017-06-02;Комитет финансов Волгоградской области;3444130624;1;97,22;292,63;146,32;438,95;73,16;512,1;0,0;585,26;50,0;60000;75,0;300000;100,0;10,00000;10,00000;0
RU000A0JXT41;СамарОбл13;Самарская область 2017;Региональные облигации;RU000A0JXT41;RU35013SAM0;1;RUB;10000000;0;TQCB;Т+: Облигации - безадрес.;31.05.2024;;0;4;8,190;5,1;91;09.06.2017;1000,0;;2017-06-09;Министерство управления финансами Самарской области;6315802231;1;98,05;246,08;228,85;263,31;221,47;270,69;214,09;278,07;7,0;200000;10,0;1000000;13,0;7,00000;7,00000;0
RU000A0JXTW1;БелгОб2017;Белгородская обл.2017 обл.;Региональные облигации;RU000A0JXTW1;RU35011BEL0;1;RUB;4000000;0;TQCB;Т+: Облигации - безадрес.;11.06.2024;;0;4;8,250;2,57;91;20.06.2017;1000,0;;2017-06-20;Правительство Белгородской области;3124016792;1;98,93;123,83;61,92;185,75;30,96;216,7;0,0;247,66;50,0;100000;75,0;500000;100,0;10,00000;10,00000;0
